Price,Close,High,Low,Open,Volume
Ticker,ESLT,ESLT,ESLT,ESLT,ESLT
Date,,,,,
2021-06-07,125.08157348632812,125.08157348632812,124.21894779513765,124.67901385542349,7900
2021-06-08,124.79402923583984,125.34036957647346,124.48732339786396,125.08157601379246,20100
2021-06-09,125.48408508300781,125.66619845649437,124.650212925707,124.650212925707,10100
2021-06-10,126.85476684570312,126.85476684570312,125.03364703246791,125.41704760510311,26000
2021-06-11,127.09439849853516,127.12315171599316,125.2732785165144,127.12315171599316,18300
2021-06-14,126.15505981445312,126.48095394078662,124.8994540821019,125.14866809784137,63200
2021-06-15,128.40750122070312,129.12636085374047,125.38829661204095,125.55123637383434,94500
2021-06-16,129.16470336914062,130.81328942229166,127.50653778524304,128.9346776293209,78600
2021-06-17,130.77493286132812,130.77493286132812,124.99530319696272,128.417067080854,150000
2021-06-18,125.33074188232422,128.01448671630882,125.33074188232422,128.01448671630882,130300
2021-06-21,127.41064453125,128.20618409405373,126.18379221457835,126.41383250841675,16300
2021-06-22,125.84835815429688,126.51929086261198,125.2349318745179,126.51929086261198,37100
2021-06-23,128.03366088867188,129.47137977398754,127.67902824370184,127.86112701731294,38400
2021-06-24,128.6950225830078,128.92504826000055,128.02408998305597,128.21578292229452,11400
2021-06-25,128.57040405273438,129.3659435731516,128.44579707205682,129.3659435731516,14900
2021-06-28,126.08796691894531,127.00809894496084,125.59913306896689,126.65346625006265,32000
2021-06-29,123.59590911865234,125.11030824497975,123.16459633668357,124.57356214962,80500
2021-06-30,124.3626937866211,124.71732646069688,123.67258749501187,123.67258749501187,19200
2021-07-01,123.31795501708984,124.23808699054305,122.80036798494262,124.23808699054305,19200
2021-07-02,123.26045989990234,123.74927914154702,122.69494592399728,123.74927914154702,11700
2021-07-06,122.5607681274414,123.37547418560813,121.25723550932757,122.9154081513431,23000
2021-07-07,124.31478118896484,124.33395487294588,122.8770620203371,123.1933619924635,34300
2021-07-08,122.30196380615234,123.04958384302633,122.11985770192126,122.28279743667116,11100
2021-07-09,123.53842163085938,123.73011460497551,123.09751462767947,123.73011460497551,13100
2021-07-12,121.9185791015625,122.72369830300251,121.16138679609195,122.6853655613681,20800
2021-07-13,122.28279876708984,122.34030518877616,121.18054603819338,121.42016587870926,42300
2021-07-14,122.5416030883789,123.59592907994984,122.01444374890258,123.18378991346277,11600
