Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2021-06-07,394.31829833984375,394.86934490806766,393.38431530836596,394.69188585185486,51555000
2021-06-08,394.40228271484375,395.27087993776814,392.57168428200526,395.17747595077844,47134300
2021-06-09,393.81390380859375,395.3176311744139,393.5897570222941,395.242896577049,48436300
2021-06-10,395.64453125,396.5972121670287,393.7205285195885,395.0374479909109,51020100
2021-06-11,396.2983093261719,396.410382721431,394.90668383020704,396.1955848814836,45570800
2021-06-14,397.1855773925781,397.2883018302443,395.1681709071251,396.4103556235315,42358500
2021-06-15,396.4571228027344,397.37240792096816,395.5791764832327,397.335069122236,51508500
2021-06-16,394.2435302734375,396.8213323424478,392.19813383077667,396.59718555484613,80386100
2021-06-17,394.11285400390625,395.0935248680887,391.6378044633818,393.832670472112,90949700
2021-06-18,388.7959899902344,391.5227466010482,388.5898403960133,390.82934732782405,118676300
2021-06-21,394.362060546875,394.54947970964827,389.74246700562156,390.55768603100165,72822000
2021-06-22,396.4703674316406,397.3043454678535,393.6311417670724,394.352679752593,57700300
2021-06-23,395.9925537109375,397.35124264550416,395.90822366088724,396.5454031031455,49445400
2021-06-24,398.3350830078125,398.75673318670397,397.88529422084855,398.13831292432985,45110300
2021-06-25,399.7499694824219,400.1997582443463,398.75671098813206,399.0846801731096,58129500
2021-06-28,400.55584716796875,400.72450723423236,399.075338926079,400.2747470575294,53159600
2021-06-29,400.7713317871094,401.57717107826255,400.23721304047496,400.9399918346332,35970500
2021-06-30,401.10870361328125,401.78337248653116,400.28410514640404,400.31221515795005,64827900
2021-07-01,403.3295593261719,403.48886848690523,401.8021816752853,401.86778124712555,53441000
2021-07-02,406.4123840332031,406.7684632777236,403.4138490651717,404.4914663355306,57697700
2021-07-06,405.6721496582031,406.68416744841574,402.936012721127,406.4686382569822,68710400
2021-07-07,407.10577392578125,407.38690265779184,404.3415272693066,406.35615449938257,63549500
2021-07-08,403.78863525390625,404.54763413664995,400.60268153812575,401.78335917623605,97595200
2021-07-09,408.0990295410156,408.39888874783514,403.59187628680496,405.29729335492465,76238600
2021-07-12,409.5608825683594,409.8139013313476,407.5837445402164,408.01477435650503,52889600
2021-07-13,408.1646423339844,410.2729791942714,407.90227266855015,408.7737117077264,52911300
2021-07-14,408.7737121582031,410.34795874869207,407.52746339505444,409.8606803722424,64130400
2021-07-15,407.3775634765625,408.1084524983558,405.47537611239835,407.4337835093042,55126400
2021-07-16,404.1822204589844,408.60504373099667,403.7886802665075,408.5582032401322,75874700
2021-07-19,398.21331787109375,404.24784908958907,395.40220190953943,399.35650617263855,147987000
2021-07-20,403.9197998046875,405.19418699140346,398.08203985333273,398.8785282705121,99608200
2021-07-21,407.19012451171875,407.3307031828911,403.8730283565818,405.11927714998365,64724400
2021-07-22,408.0428161621094,408.28645534613815,406.3842681533673,407.36814723384765,47878500
2021-07-23,412.2407531738281,412.5780733348413,409.28908738037114,409.9731072389194,63766600
2021-07-26,413.2527160644531,413.26209560038063,411.6035477215418,411.6503882088871,43719200
2021-07-27,411.36932373046875,412.2407627628377,408.5394488652319,412.21265274876606,67397100
2021-07-28,411.2006530761719,412.5781010183634,409.77636464052375,411.99714163798257,52472400
2021-07-29,412.90606689453125,413.9836556005954,412.1189578762892,412.12833741336397,47435300
2021-07-30,410.90081787109375,412.35321630587856,410.20738984106623,410.33858897512397,68951200
2021-08-02,410.03875732421875,413.1684631203234,409.68267804628834,412.6156137242241,58783300
2021-08-03,413.37451171875,413.4963312941715,408.6424789249471,410.83514549410086,58053900
2021-08-04,411.3411560058594,413.34640345264876,411.1068963894126,412.0907753400313,46732200
2021-08-05,413.9461364746094,414.0304665079831,412.1844995210822,412.5030891792091,38969700
2021-08-06,414.6302490234375,415.0519278807742,413.9836900268023,414.26481879707745,46930000
2021-08-09,414.2929382324219,414.920738167619,413.52455961081546,414.60214843098646,41222600
2021-08-10,414.8082275390625,415.52038600343246,414.05860812109773,414.74262797604996,43339300
2021-08-11,415.8389587402344,415.93266831269824,414.75199061117655,415.87644828844924,44034300
2021-08-12,417.0852355957031,417.22581426197354,414.78950819398324,415.68905723891174,38909400
2021-08-13,417.8442687988281,417.86299927638066,417.0477802625369,417.53503004424323,39470300
2021-08-16,418.8281555175781,418.95932605512974,414.9862914344037,416.5417789840265,73740000
2021-08-17,416.0826721191406,416.9447317088072,413.0935163801424,416.2700627013434,92673900
2021-08-18,411.52850341796875,416.6353739598265,411.28489288776996,415.07050730363795,89351900
2021-08-19,412.1658020019531,413.36523891211175,408.6612866430519,408.8018367196642,92812200
2021-08-20,415.4454345703125,415.7734038110684,412.02524927934286,412.512527670003,72008700
2021-08-23,419.0998840332031,420.0088125987634,415.5203897980154,417.1320972978909,54973000
2021-08-24,419.7651062011719,420.2992249687994,419.2497465036569,419.7651062011719,38744700
2021-08-25,420.6459655761719,421.1613253238744,419.57772793688787,419.952566221922,40529700
2021-08-26,418.162841796875,420.5991192042751,418.0691322205563,420.3648595615522,57829600
2021-08-27,421.90155029296875,422.2763599432397,418.91239543351816,418.9686154512516,77235100
2021-08-30,423.7569885253906,424.544097540426,422.33267151100796,422.57631070476276,48357400
2021-08-31,423.129150390625,424.0005894306205,422.52946055313254,423.6632692588089,59300200
2021-09-01,423.35400390625,424.58152211457764,423.11974426960506,424.0661623524176,48721400
2021-09-02,424.6564636230469,425.46230297562477,423.4570555334381,424.7782831987027,42501000
2021-09-03,424.5533752441406,425.0687635577039,423.11970753618436,423.52265580930316,47170500
2021-09-07,423.035400390625,424.30040810634716,422.3607315153163,424.20669853552585,51671500
2021-09-08,422.52008056640625,423.23223905655976,420.5991342695839,422.5013500889307,56181900
2021-09-09,420.7115478515625,424.0755125696742,420.467908695529,422.3232551840981,57970400
2021-09-10,417.39447021484375,423.06354222411983,417.27265062322766,422.64189201792766,89948200
2021-09-13,418.462646484375,420.65534176904265,416.1481602138,420.3929721292917,83738600
2021-09-14,416.2044372558594,420.11187210742554,415.3142391694053,419.9057224766755,78197100
2021-09-15,419.6808166503906,420.1774459218341,415.5203633365021,416.6260619263352,78792200
2021-09-16,419.0155029296875,420.1305523944603,416.0638088883506,419.15605298019295,77786700
2021-09-17,414.9339599609375,418.6659226939103,414.57673990427645,418.24292159083717,118425000
2021-09-20,408.01513671875,410.38402816124625,403.1457057219849,408.80476719958205,166445500
2021-09-21,407.6297912597656,411.6531636956014,407.10337084294684,410.3559031370975,92526100
2021-09-22,411.6061096191406,413.64601007748894,407.74255702757415,409.9046386502538,102350100
2021-09-23,416.6071472167969,418.21463714747955,413.2418148065021,413.4768249344985,76396000
2021-09-24,417.2933654785156,418.00780541065916,414.7552447526697,414.97146438680744,62094800
2021-09-27,416.0995178222656,417.4249496091947,415.4038683828205,416.2593086333386,61371100
2021-09-28,407.71441650390625,413.655480073126,406.981185972043,413.32646012046985,130436300
2021-09-29,408.400634765625,410.8353363854079,407.83660468931265,409.0962556033454,82329200
2021-09-30,403.40899658203125,410.58148154628566,403.07056708218,409.8764511666684,140506000
2021-10-01,408.2032165527344,409.88589724112427,401.613551525623,405.138703737529,129240100
2021-10-04,402.93902587890625,407.9400201839394,400.79570572105376,407.0375892196289,128570000
2021-10-05,407.1316223144531,409.378304611359,403.64407944076936,404.4430910647676,90682500
2021-10-06,408.82354736328125,409.030357390263,401.90486407471866,403.5311155394908,113032200
2021-10-07,412.3581848144531,415.1970969045478,411.92577420062315,412.1043841974191,72437500
2021-10-08,411.6061096191406,413.5144193283019,410.9762985644965,413.1289992900791,74557400
2021-10-11,408.6262512207031,413.8622842543227,408.56044149355773,410.9481526531211,65233300
2021-10-12,407.6203918457031,409.951702812476,406.8307612007708,409.5474922480039,71181200
2021-10-13,409.0868225097656,409.90465316392994,405.6650899688843,408.645002322282,72974000
2021-10-14,415.9679260253906,416.1183359496485,412.28295460047235,412.7529748558683,70236800
2021-10-15,419.13592529296875,419.5025549212031,417.46265406245044,418.0830843417794,66260200
2021-10-18,420.37677001953125,420.7151708749127,416.6917981413863,417.34983805497893,62213200
2021-10-19,423.619873046875,423.68565408047556,421.39195292020696,422.0030022074686,46996800
2021-10-20,425.28375244140625,425.5845723051379,423.96770139728164,424.0805016742407,49571600
2021-10-21,426.39300537109375,426.6186059313377,424.2497139854905,424.6821246218787,41305400
2021-10-22,425.951171875,427.40825194853414,424.0052810402493,425.96058146063757,58845100
2021-10-25,428.23541259765625,428.5644324904607,425.264910041171,427.04157156190274,45214500
2021-10-26,428.6208801269531,430.99918156529145,428.2448696453988,429.78654991386077,56075100
2021-10-27,426.7220153808594,429.74894714064544,426.64679607068757,429.08152637361746,72438000
2021-10-28,430.8393859863281,430.9145766067055,428.1414742340312,428.15085513172806,51437900
2021-10-29,431.71368408203125,432.0050943990197,428.24493166341136,428.5363419803998,70162400
2021-11-01,432.4561767578125,433.0766068401106,430.72650593190025,432.70056774459283,48433600
2021-11-02,434.2047119140625,434.51494135185385,432.4938312768331,432.62545072020157,48908400
2021-11-03,436.8556823730469,437.25989295856164,433.198910555134,433.6407307983925,52509800
2021-11-04,438.9143371582031,438.9989373652711,437.10944667746986,437.4572570913363,52847100
2021-11-05,440.43719482421875,442.43007618696566,438.92374331887703,441.1422252320449,66390600
2021-11-08,440.8132019042969,442.0352718144265,440.1269906728055,441.53705147758245,50405200
2021-11-09,439.35614013671875,441.41483115793073,437.946079365355,441.1798210293701,51149100
2021-11-10,435.8216247558594,439.3561866436364,434.336373208753,437.6640963262321,69429700
2021-11-11,435.96258544921875,437.39146541229354,435.9437949662479,437.3162461048895,34848500
2021-11-12,439.2527770996094,439.80739763161506,436.2822452510813,437.2316954723227,53466700
2021-11-15,439.4031066894531,440.7003671182999,438.2750753466251,440.5405763047511,46980500
2021-11-16,441.1422424316406,442.2796835013746,439.0647607814874,439.1399514053057,48857500
2021-11-17,440.0706481933594,441.0576794109191,439.450217915438,440.8790693905585,47858300
2021-11-18,441.56524658203125,441.8284567817868,438.3784954289363,441.1046072166389,50625600
2021-11-19,440.775634765625,442.70270645083684,440.4090051747564,441.4524364328998,57315600
2021-11-22,439.53466796875,445.1467099372487,439.32785794676454,442.6556087777109,72762000
2021-11-23,440.1175842285156,440.9730245653836,436.60184177692975,439.20574375407494,73206500
2021-11-24,441.2926025390625,441.4148123907597,437.29743052339023,438.1152611459688,61858800
2021-11-26,431.45037841796875,436.0847710795946,430.32231837166336,434.61831023205275,112669600
2021-11-29,436.74285888671875,438.58533038960036,434.0449470141302,436.24463852719293,86268800
2021-11-30,428.24481201171875,436.20695552725533,428.0003923221103,434.29867461961885,148559600
